                                                                                                                                                                                                             ?
©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤jowu@jowu-pset:/drives/e/workspace/script/python$ cat snap.log  | grep 871 | grep -E '\[end|begin\]'
I/start   (  871): [TC:76176][TT:10086] [statusbar] [NQStatusBar::checkTSL()] [check tsl icon index begin]
I/start   (  871): [TC:76177][TT:10087] [statusbar] [NQStatusBar::checkTSL()] [get product country (getUICFunc isSupportTsl) begin]
I/start   (  871): [TC:76179][TT:10089] [statusbar] [NQStatusBar::checkTSL()] [get system info tsl status begin]
I/start   (  871): [TC:76194][TT:10091] [statusbar] [NQStatusBar::checkTSL()] [delete tsl button begin]
I/start   (  871): [TC:76194][TT:10091] [statusbar] [NQStatusBar::updateInitialDisplay()] [check p2p wifi icon display begin]
I/start   (  871): [TC:76194][TT:10091] [statusbar] [NQStatusBar::checkWifiP2P()] [check p2p wifi icon index begin]
I/start   (  871): [TC:76194][TT:10091] [statusbar] [NQStatusBar::checkWifiP2P()] [get system info wifi status log begin]
I/start   (  871): [TC:76213][TT:10095] [statusbar] [NQStatusBar::checkWifiP2P()] [delete p2p wifi icon display begin]
I/start   (  871): [TC:76213][TT:10095] [statusbar] [NQStatusBar::updateInitialDisplay()] [check sta wifi icon display begin]
I/start   (  871): [TC:76213][TT:10095] [statusbar] [NQStatusBar::checkWifiConn()] [check sta wifi icon index begin]
I/start   (  871): [TC:76213][TT:10095] [statusbar] [NQStatusBar::checkWifiConn()] [get system info wifi status log begin]
